words,Parts of speech,Number of word meanings,word meaning sequence number,Sentiment classification,strength,polarity,polar weight
pleasant,adj,1,1,Desirable,5,1,2
free clinic,noun,1,1,Praiseworthy,5,1,2
yingfa,noun,1,1,Praiseworthy,5,1,2
yingwei,adj,1,1,Praiseworthy,5,1,2
yingrun,adj,1,1,Praiseworthy,3,1,2
yongjian,adj,1,1,Praiseworthy,3,1,2
generous,adj,1,1,Praiseworthy,5,1,2
elegant,adj,1,1,Praiseworthy,5,1,2
knowledgeable,adj,1,1,Praiseworthy,5,1,2
friendly neighbor,adj,1,1,Praiseworthy,5,1,2
beauty,adj,1,1,Praiseworthy,5,1,2
hero,adj,1,1,Praiseworthy,5,1,2
good sentences,noun,1,1,Praiseworthy,7,1,2
good fun,noun,1,1,Praiseworthy,5,1,2
universal love,noun,1,1,Praiseworthy,3,1,2
hold fast,verb,1,1,Praiseworthy,7,1,2
recommend,verb,1,1,Confirmed,7,1,2
famous,verb,1,1,Praiseworthy,7,1,2
knowledge,noun,1,1,Praiseworthy,1,1,2
medal flag,noun,1,1,Praiseworthy,3,1,2
award,verb,1,1,Praiseworthy,7,1,2
beautiful,adj,1,1,Praiseworthy,5,1,2
jiaoli,adj,1,1,Praiseworthy,5,1,2
pride,noun,1,1,Praiseworthy,5,1,2
solve doubts,verb,1,1,Praiseworthy,3,1,2
jin yao,noun,1,1,Praiseworthy,5,1,2
golden voice,noun,1,1,Praiseworthy,3,1,2
uniform,adj,1,1,Praiseworthy,3,1,2
tribute,adj,1,1,Praiseworthy,3,1,2
pure,adj,1,1,Praiseworthy,3,1,2
motto,noun,1,1,Praiseworthy,5,1,2
curios,noun,1,1,Desirable,7,1,2
valid reason,noun,1,1,Praiseworthy,5,1,2
guide,verb,1,1,Praiseworthy,3,1,2
zhili,noun,1,1,Confirmed,7,1,2
pay tribute,verb,1,1,Praiseworthy,5,1,2
zhiduoxing,noun,1,1,Praiseworthy,5,1,2
loyal soul,noun,1,1,Praiseworthy,7,1,2
main force,noun,1,1,Praiseworthy,5,1,2
criterion,noun,1,1,Praiseworthy,5,1,2
trot,adj,1,1,Praiseworthy,7,1,2
advance,verb,1,1,Desirable,5,1,2
triumph,verb,1,1,Desirable,5,1,2
respect,verb,1,1,Praiseworthy,3,1,2
exhausted,verb,1,1,Praiseworthy,5,1,2
fine white,adj,1,1,Praiseworthy,3,1,2
clean,adj,1,1,Praiseworthy,7,1,2
exquisite,adj,1,1,Praiseworthy,5,1,2
essence,adj,1,1,Praiseworthy,7,1,2
essentials,adj,1,1,Praiseworthy,3,1,2
jingjie,adj,1,1,Praiseworthy,5,1,2
landscape,noun,1,1,Praiseworthy,5,1,2
sincerely,verb,1,1,Praiseworthy,7,1,2
nostalgia,verb,1,1,Desirable,5,1,2
tragedy everywhere,idiom,1,1,Undesirable,7,2,2
dirty,idiom,1,1,Blameworthy,5,2,2
polite,adj,1,1,Praiseworthy,9,1,2
easy,adj,1,1,Praiseworthy,9,1,2
pure hearted,idiom,1,1,Praiseworthy,9,1,2
it's obvious,idiom,1,1,Blameworthy,9,2,2
discerning,prep,1,1,Praiseworthy,9,1,2
unclean,idiom,1,1,Blameworthy,3,2,2
brilliant,idiom,1,1,Praiseworthy,9,1,2
xuefuwuche,idiom,1,1,Praiseworthy,9,1,2
spiritual beauty,prep,1,1,Praiseworthy,9,1,2
tastes good,prep,1,1,Praiseworthy,9,1,2
bland,idiom,1,1,Blameworthy,9,2,2
rigid,adj,1,1,Blameworthy,9,2,2
baggy,adj,1,1,Blameworthy,9,2,2
at stake,idiom,1,1,Undesirable,9,2,2
undisciplined,adj,1,1,Blameworthy,9,2,2
no substance,adj,1,1,Blameworthy,9,2,2
steep,verb,1,1,Blameworthy,1,2,2
not sure,idiom,1,1,Undesirable,5,2,2
opaque,adj,1,1,Blameworthy,3,2,2
indecent,adj,1,1,Blameworthy,3,2,2
have courage,adj,1,1,Praiseworthy,9,1,2
mysterious,adj,1,1,Blameworthy,9,2,2
sinful,idiom,1,1,Blameworthy,9,2,2
wrinkled,prep,1,1,Blameworthy,9,2,2
notorious,idiom,1,1,Blameworthy,9,2,2
measuring small,prep,1,1,Blameworthy,7,2,2
corruption,idiom,1,1,Blameworthy,9,2,2
lonely,adj,1,1,Undesirable,5,2,2
indecisive,adj,1,1,Blameworthy,7,2,2
surly,adj,1,1,Blameworthy,7,2,2
vague,idiom,1,1,Blameworthy,5,2,2
you're welcome,idiom,1,1,Blameworthy,5,2,2
hessen,adj,1,1,Undesirable,5,0,1
unshaven,idiom,1,1,Blameworthy,3,2,2
absurdist,noun,1,1,Blameworthy,7,2,2
debauchery,idiom,1,1,Blameworthy,9,2,2
gray,adj,1,1,Undesirable,1,0,1
smart,noun,1,1,Praiseworthy,5,1,2
dim,adj,1,1,Undesirable,7,2,2
earnestly,adj,1,1,Praiseworthy,5,1,2
dark,adj,1,1,Undesirable,3,2,2
zhengliang,adj,1,1,Praiseworthy,3,1,2
straight face,verb,1,1,Undesirable,5,0,1
feel guilty,adj,1,1,Undesirable,3,2,2
sad,adj,1,1,Undesirable,5,2,2
stunned,verb,1,1,Undesirable,7,2,2
lost soul,verb,1,1,Undesirable,7,2,2
complain,verb,1,1,Undesirable,3,2,2
annoying god,adj,1,1,Undesirable,5,2,2
uneasy,idiom,1,1,Undesirable,5,2,2
mind,adj,1,1,Undesirable,3,0,1
undecided,idiom,1,1,Undesirable,5,0,1
apologetic,verb,1,1,Blameworthy,3,0,1
personal attacks,noun,1,1,Blameworthy,5,2,2
chatter,verb,1,1,Blameworthy,3,0,1
blame,verb,1,1,Blameworthy,5,0,1
astonished,idiom,1,1,Undesirable,7,0,1
startled,adj,1,1,Undesirable,3,0,1
hesitant,verb,1,1,Undesirable,5,0,1
can't wait,verb,1,1,Undesirable,7,0,1
worship,verb,1,1,Praiseworthy,5,0,1
admire,verb,1,1,Praiseworthy,5,0,1
fancy it,adj,1,1,Desirable,3,0,1
well,adj,1,1,Desirable,1,1,2
antai,adj,1,1,Praiseworthy,1,1,2
breathtaking,idiom,1,1,Undesirable,7,1,2
hard work,idiom,1,1,Praiseworthy,7,1,2
bow down,verb,1,1,Praiseworthy,5,0,1
beer bang,adj,1,1,Praiseworthy,7,1,2
exhausted,prep,1,1,Undesirable,7,0,1
strong,adj,1,1,Blameworthy,1,0,1
well-informed,idiom,1,1,Praiseworthy,5,1,2
unwavering,prep,1,1,Praiseworthy,1,0,1
unconventional,idiom,1,1,Praiseworthy,5,1,2
terrible,adj,1,1,Undesirable,9,2,2
talented,idiom,1,1,Praiseworthy,7,1,2
empty,adj,1,1,Undesirable,7,0,1
silence,adj,1,1,Blameworthy,5,2,2
bitter taste,adj,1,1,Undesirable,7,0,1
crazy,adj,1,1,Blameworthy,9,2,2
ribs,adj,1,1,Blameworthy,7,2,2
lililuoluo,idiom,1,1,Blameworthy,3,2,2
stern,adj,1,1,Praiseworthy,7,1,2
lingding,adj,1,1,Undesirable,7,0,1
boring,idiom,1,1,Blameworthy,7,2,2
doing nothing,idiom,1,1,Blameworthy,7,2,2
so-so,idiom,1,1,Blameworthy,5,2,2
reckless,idiom,1,1,Blameworthy,5,2,2
boneless,prep,1,1,Blameworthy,7,2,2
heartless,idiom,1,1,Blameworthy,3,2,2
confused,adj,1,1,Undesirable,5,0,1
ambiguous,idiom,1,1,Blameworthy,5,2,2
fuss,idiom,1,1,Blameworthy,3,2,2
difficult,adj,1,1,Undesirable,5,2,2
one-minded,adj,1,1,Praiseworthy,9,1,2
level 1,adj,1,1,Praiseworthy,9,1,2
have brains,adj,1,1,Praiseworthy,9,1,2
thriving,adj,1,1,Praiseworthy,9,1,2
make noise,idiom,1,1,Blameworthy,7,2,2
poor,adj,1,1,Undesirable,3,0,1
extravagance,idiom,1,1,Blameworthy,7,2,2
extremely ugly,idiom,1,1,Blameworthy,9,2,2
bitterness,adj,1,1,Undesirable,5,0,1
mentally retarded,adj,1,1,Blameworthy,9,2,2
sexy,adj,1,1,Blameworthy,9,2,2
silly,idiom,1,1,Blameworthy,5,2,2
noisy,prep,1,1,Undesirable,9,2,2
elusive,idiom,1,1,Blameworthy,9,2,2
special class,adj,1,1,Desirable,5,0,1
gentrification,noun,1,1,Praiseworthy,3,1,2
enigmatic,idiom,1,1,Praiseworthy,1,0,1
revolutionary,noun,1,1,Praiseworthy,3,1,2
immeasurable merit,idiom,1,1,Praiseworthy,7,1,2
quaint,adj,1,1,Desirable,3,1,2
too hard,adj,1,1,Praiseworthy,3,1,2
very ambitious,idiom,1,1,Praiseworthy,5,1,2
be eaten,adj,1,1,Desirable,3,1,2
unprecedented,idiom,1,1,Praiseworthy,7,1,2
sacraments,noun,1,1,Praiseworthy,9,0,1
catch up,verb,1,1,Blameworthy,7,2,2
handsome,adj,1,1,Praiseworthy,5,1,2
undoubted,idiom,1,1,Confirmed,9,0,1
sure,adj,1,1,Confirmed,9,0,1
rat gallbladder,adj,1,1,Blameworthy,9,2,2
strong,adj,1,1,Praiseworthy,1,0,1
simple,adj,1,1,Blameworthy,1,0,1
narrow-minded,idiom,1,1,Blameworthy,9,2,2
introversion,idiom,1,1,Blameworthy,9,2,2
magnificent,idiom,1,1,Praiseworthy,9,1,2
eye-catching,prep,1,1,Praiseworthy,1,0,1
deviant,prep,1,1,Blameworthy,9,2,2
eye-opening,idiom,1,1,Praiseworthy,3,1,2
flawless,idiom,1,1,Praiseworthy,9,1,2
unpretentious,adj,1,1,Praiseworthy,3,1,2
supreme glory,idiom,1,1,Praiseworthy,9,1,2
fun,prep,1,1,Praiseworthy,9,1,2
broad-minded,prep,1,1,Praiseworthy,9,1,2
no pollution,prep,1,1,Praiseworthy,9,1,2
unrestrained,prep,1,1,Praiseworthy,9,1,2
good conversation,idiom,1,1,Praiseworthy,9,1,2
delicious,adj,1,1,Desirable,3,1,2
th,idiom,1,1,Undesirable,9,2,2
anbang dingguo,idiom,1,1,Praiseworthy,9,1,2
jishijiangbang,idiom,1,1,Praiseworthy,9,1,2
hot,adj,1,1,Blameworthy,1,2,2
cheerful,adj,1,1,Desirable,5,1,2
successful,adj,1,1,Desirable,3,1,2
good days,noun,1,1,Praiseworthy,5,1,2
entertainment,adj,1,1,Desirable,5,1,2
fortunately,verb,1,1,Desirable,3,1,2
joyful,noun,1,1,Desirable,5,1,2
elated,adj,1,1,Desirable,7,1,2
pleasure,adj,1,1,Desirable,5,1,2
yanfu,noun,1,1,Desirable,5,0,1
le taotao,adj,1,1,Desirable,5,1,2
funny,adj,1,1,Desirable,5,1,2
smiling brightly,adj,1,1,Desirable,5,1,2
high spirits,adj,1,1,Desirable,5,1,2
yanran,adj,1,1,Desirable,5,1,2
gimmick,verb,1,1,Desirable,5,0,1
lucky,adj,1,1,Desirable,3,0,1
comfort zone,noun,1,1,Desirable,3,1,2
preference,verb,1,1,Desirable,7,0,1
miss,verb,1,1,Desirable,3,1,2
migraine,verb,1,1,Blameworthy,3,2,2
pamper,verb,1,1,Blameworthy,5,2,2
linger,verb,1,1,Desirable,5,0,1
cherish,verb,1,1,Desirable,3,0,1
love,verb,1,1,Desirable,5,0,1
interest,noun,1,1,Desirable,3,0,1
rare,adj,1,1,Desirable,5,1,2
xinmu,verb,1,1,Desirable,3,0,1
heartbeat,adj,1,1,Desirable,3,0,1
docile,adj,1,1,Praiseworthy,1,1,2
care,verb,1,1,Desirable,3,0,1
self-study,idiom,1,1,Desirable,1,1,2
inseparable,idiom,1,1,Desirable,5,1,2
eager,verb,1,1,Desirable,7,0,1
desire,noun,1,1,Desirable,5,0,1
be obedient,noun,1,1,Desirable,5,1,2
warmth,adj,1,1,Praiseworthy,3,1,2
soft,adj,1,1,Praiseworthy,1,1,2
tenderness,adj,1,1,Desirable,5,1,2
tasty,adj,1,1,Praiseworthy,1,1,2
wonderful,adj,1,1,Undesirable,5,0,1
praise,verb,1,1,Praiseworthy,5,1,2
praise,verb,1,1,Praiseworthy,5,1,2
martyrs,noun,1,1,Undesirable,3,1,2
respectfully,adj,1,1,Praiseworthy,5,1,2
old timer,noun,1,1,Praiseworthy,5,0,1
noble,adj,1,1,Praiseworthy,5,1,2
originator,noun,1,1,Praiseworthy,7,1,2
gentle,adj,1,1,Praiseworthy,3,1,2
jardine,adj,1,1,Desirable,3,0,1
harmonious,adj,1,1,Praiseworthy,5,1,2
demure,adj,1,1,Desirable,1,1,2
comfortable,adj,1,1,Desirable,3,0,1
thought provoking,idiom,1,1,Undesirable,3,0,1
reliable,adj,1,1,Confirmed,3,1,2
ironclad,adv,1,1,Confirmed,9,0,1
lively,adj,1,1,Praiseworthy,5,1,2
model,noun,1,1,Praiseworthy,5,1,2
extraordinary,adj,1,1,Praiseworthy,9,1,2
sincere,adj,1,1,Praiseworthy,5,1,2
outstanding,adj,1,1,Praiseworthy,5,1,2
encouraging,adj,1,1,Praiseworthy,5,1,2
excited,adj,1,1,Praiseworthy,7,1,2
decisive,adj,1,1,Praiseworthy,5,1,2
witty,adj,1,1,Praiseworthy,5,1,2
bodybuilding,adj,1,1,Praiseworthy,1,1,2
talk freely,verb,1,1,Praiseworthy,3,1,2
simple,adj,1,1,Praiseworthy,5,1,2
monument,noun,1,1,Praiseworthy,7,1,2
fortitude,adj,1,1,Praiseworthy,5,1,2
willing,adj,1,1,Praiseworthy,3,1,2
immortal,adj,1,1,Praiseworthy,9,1,2
so beautiful,adj,1,1,Praiseworthy,5,1,2
touching,adj,1,1,Praiseworthy,3,1,2
agile,adj,1,1,Praiseworthy,5,1,2
capable,adj,1,1,Praiseworthy,5,1,2
bold,adj,1,1,Praiseworthy,5,1,2
pretty,adj,1,1,Praiseworthy,5,1,2
charming,adj,1,1,Praiseworthy,5,1,2
overcoming obstacles,idiom,1,1,Praiseworthy,7,1,2
diligence,adj,1,1,Praiseworthy,1,1,2
enthusiasm,adj,1,1,Praiseworthy,5,1,2
famous,noun,1,1,Praiseworthy,9,1,2
understand,verb,1,1,Praiseworthy,5,0,1
loyalty,adj,1,1,Praiseworthy,5,1,2
frank,adj,1,1,Praiseworthy,5,1,2
confidence,idiom,1,1,Praiseworthy,5,1,2
well-known,adj,1,1,Praiseworthy,7,1,2
tough,adj,1,1,Praiseworthy,3,1,2
beautiful,adj,1,1,Praiseworthy,5,1,2
shocked,verb,1,1,Praiseworthy,5,1,2
tidy,adj,1,1,Praiseworthy,5,1,2
thoughtful,adj,1,1,Praiseworthy,5,1,2
jie lie,adj,1,1,Praiseworthy,5,1,2
charitable,noun,1,1,Praiseworthy,5,1,2
upright,adj,1,1,Praiseworthy,5,1,2
upright,adj,1,1,Praiseworthy,7,1,2
honest,adj,1,1,Praiseworthy,5,1,2
honest,adj,1,1,Praiseworthy,5,1,2
properly,adj,1,1,Praiseworthy,5,1,2
perseverance,adj,1,1,Praiseworthy,5,1,2
unyielding,adj,1,1,Praiseworthy,5,1,2
brave,adj,1,1,Praiseworthy,5,1,2
newborn calf,noun,1,1,Praiseworthy,3,1,2
magnanimity,adj,1,1,Praiseworthy,5,1,2
humbly,adj,1,1,Praiseworthy,5,1,2
noble spirit,noun,1,1,Praiseworthy,5,1,2
elegant,adj,1,1,Praiseworthy,5,1,2
jiujiu,adj,1,1,Praiseworthy,5,1,2
so strong,adj,1,1,Praiseworthy,5,1,2
morality,noun,1,1,Praiseworthy,5,1,2
suave,adj,1,1,Praiseworthy,5,1,2
crispy,adj,1,1,Praiseworthy,3,1,2
unswerving determination,idiom,1,1,Praiseworthy,7,1,2
pretense,idiom,1,1,Praiseworthy,3,1,2
kind,adj,1,1,Praiseworthy,5,1,2
shen yun,noun,1,1,Praiseworthy,5,1,2
compassion,adj,1,1,Desirable,7,0,1
accurate,adj,1,1,Praiseworthy,5,0,1
cool,adj,1,1,Praiseworthy,5,0,1
thoughtful,adj,1,1,Praiseworthy,5,0,1
bustling,adj,1,1,Praiseworthy,5,1,2
robust,adj,1,1,Praiseworthy,3,1,2
vast,adj,1,1,Praiseworthy,3,1,2
nimble,adj,1,1,Praiseworthy,3,1,2
appropriate,adj,1,1,Praiseworthy,5,1,2
fragrant,adj,1,1,Praiseworthy,5,1,2
rich,adj,1,1,Praiseworthy,5,1,2
precise,adj,1,1,Praiseworthy,5,1,2
clear,adj,1,1,Praiseworthy,3,1,2
lenient,idiom,1,1,Praiseworthy,5,1,2
daidaihong,adj,1,1,Praiseworthy,5,1,2
rescue,verb,1,1,Praiseworthy,5,1,2
chant,verb,1,1,Praiseworthy,7,1,2
amazed,verb,1,1,Praiseworthy,7,1,2
juanxiu,adj,1,1,Praiseworthy,5,1,2
extraordinarily eye-catching,adj,1,1,Praiseworthy,5,1,2
not self-interested,adj,1,1,Praiseworthy,5,1,2
integrity,adj,1,1,Praiseworthy,5,1,2
saint,noun,1,1,Praiseworthy,9,1,2
virtuous,adj,1,1,Praiseworthy,5,1,2
overwhelming,adj,1,1,Praiseworthy,5,1,2
earth-shattering,adj,1,1,Undesirable,7,0,1
accurate,adj,1,1,Praiseworthy,3,1,2
penetrating,adj,1,1,Praiseworthy,7,1,2
dominate,adj,1,1,Praiseworthy,7,1,2
outshine,adj,1,1,Praiseworthy,7,1,2
originality,adj,1,1,Praiseworthy,7,1,2
not bad,adj,1,1,Praiseworthy,3,1,2
help,verb,1,1,Praiseworthy,3,1,2
treasure land,noun,1,1,Praiseworthy,7,1,2
repay,verb,1,1,Praiseworthy,5,1,2
grief,adj,1,1,Undesirable,7,0,1
sorrow,adj,1,1,Undesirable,5,0,1
sad,adj,1,1,Undesirable,5,0,1
claim injustice,adj,1,1,Undesirable,7,0,1
deplore,verb,1,1,Undesirable,7,0,1
unaccompanied,adj,1,1,Undesirable,3,0,1
shed tears,verb,1,1,Undesirable,5,0,1
sob,verb,1,1,Undesirable,5,0,1
howl,verb,1,1,Undesirable,9,0,1
unlucky,adj,1,1,Undesirable,3,0,1
feeling sad,idiom,1,1,Undesirable,7,0,1
unbearable suffering,idiom,1,1,Undesirable,5,0,1
sigh,verb,1,1,Undesirable,3,0,1
wail,verb,1,1,Undesirable,7,0,1
sincerely fearful,idiom,1,1,Undesirable,5,0,1
ghost,adj,1,1,Undesirable,1,0,1
hesitate,idiom,1,1,Blameworthy,3,2,2
scum,noun,1,1,Blameworthy,7,1,2
rampant,adj,1,1,Blameworthy,3,2,2
stinky,noun,1,1,Blameworthy,1,2,2
brazen,adv,1,1,Blameworthy,5,2,2
trick,noun,1,1,Blameworthy,3,2,2
partisan,noun,1,1,Blameworthy,3,2,2
blackmail,verb,1,1,Blameworthy,5,2,2
domineering,adj,1,1,Blameworthy,3,2,2
restoration,verb,1,1,Blameworthy,1,2,2
old fox,noun,1,1,Blameworthy,7,2,2
win over,verb,1,1,Blameworthy,3,2,2
disgust,verb,1,1,Blameworthy,7,2,2
abominable,adj,1,1,Blameworthy,7,2,2
traitor,noun,1,1,Blameworthy,5,2,2
bullying,verb,1,1,Blameworthy,3,2,2
humiliation,noun,1,1,Blameworthy,3,2,2
contempt,verb,1,1,Blameworthy,7,2,2
sarai,verb,1,1,Blameworthy,3,2,2
mob,idiom,1,1,Blameworthy,5,2,2
vampire,noun,1,1,Blameworthy,7,2,2
conspiracy,noun,1,1,Blameworthy,5,2,2
deserved,idiom,1,1,Blameworthy,5,2,2
underestimate,verb,1,1,Blameworthy,1,2,2
bestiality,noun,1,1,Blameworthy,7,2,2
greedy,adj,1,1,Blameworthy,3,2,2
spoil,verb,1,1,Blameworthy,9,2,2
disgusting,adj,1,1,Blameworthy,9,2,2
disapproval,adj,1,1,Blameworthy,7,2,2
concubine,noun,1,1,Blameworthy,3,2,2
tease,verb,1,1,Blameworthy,3,2,2
mangy dog,noun,1,1,Blameworthy,7,2,2
prime culprit,noun,1,1,Blameworthy,3,2,2
evildoer,noun,1,1,Blameworthy,7,2,2
slut,noun,1,1,Blameworthy,9,2,2
slander,verb,1,1,Blameworthy,5,2,2
distressed,adj,1,1,Undesirable,5,0,1
worry,adj,1,1,Undesirable,1,0,1
dejected,adj,1,1,Undesirable,1,0,1
impatient,adj,1,1,Undesirable,5,0,1
anxious,adj,1,1,Undesirable,7,0,1
doubt,noun,1,1,Undesirable,1,0,1
feeling ashamed,adj,1,1,Undesirable,7,0,1
silence,adj,1,1,Undesirable,7,0,1
heartbroken,idiom,1,1,Undesirable,9,2,2
poverty,adj,1,1,Undesirable,5,0,1
heat,adj,1,1,Undesirable,3,2,2
ashamed,adj,1,1,Undesirable,5,0,1
blush,adj,1,1,Undesirable,3,0,1
sorry,adj,1,1,Undesirable,3,0,1
ashamed,adj,1,1,Undesirable,5,0,1
remorse,adj,1,1,Undesirable,9,0,1
tolerance,adj,1,1,Desirable,1,0,1
panic,adj,1,1,Undesirable,7,0,1
scared,adj,1,1,Undesirable,3,2,2
impetuous,adj,1,1,Undesirable,5,2,2
zhou zhang,adj,1,1,Undesirable,3,0,1
urgent,adj,1,1,Undesirable,3,0,1
heart burning,idiom,1,1,Undesirable,9,2,2
give up,adj,1,1,Undesirable,9,0,1
disheartened,adj,1,1,Undesirable,5,0,1
envy,adj,1,1,Undesirable,7,2,2
jealousy,noun,1,1,Undesirable,1,2,2
suspicion,verb,1,1,Disconfirmed,5,2,2
mystery,noun,1,1,Disconfirmed,7,0,1
spendthrift,noun,1,1,Blameworthy,7,2,2
straw bag,noun,1,1,Blameworthy,7,2,2
prosperity,idiom,1,1,Praiseworthy,7,1,2
nianfengshimin,idiom,1,1,Praiseworthy,5,1,2
fall apart,idiom,1,1,Undesirable,5,2,2
desires abound,idiom,1,1,Blameworthy,7,2,2
trial test,idiom,1,1,Praiseworthy,3,1,2
cheating,idiom,1,1,Blameworthy,9,2,2
fraud,idiom,1,1,Blameworthy,7,2,2
never forget,idiom,1,1,Praiseworthy,7,1,2
innovate,idiom,1,1,Praiseworthy,7,1,2
bon voyage,idiom,1,1,Desirable,5,1,2
tailoring,idiom,1,1,Praiseworthy,1,1,2
gunk rok,idiom,1,1,Praiseworthy,1,1,2
very different,idiom,1,1,Blameworthy,5,2,2
completely different,idiom,1,1,Blameworthy,7,2,2
perish together,idiom,1,1,Undesirable,1,2,2
skilled craftsman,idiom,1,1,Praiseworthy,5,1,2
innate deficiencies,idiom,1,1,Blameworthy,1,2,2
transformed,idiom,1,1,Undesirable,7,0,1
perfect match,idiom,1,1,Praiseworthy,7,1,2
linjiaofengzui,idiom,1,1,Praiseworthy,7,1,2
until death,idiom,1,1,Blameworthy,7,2,2
huangkou zhizi,idiom,1,1,Blameworthy,5,2,2
no clue,idiom,1,1,Undesirable,5,2,2
so sad,idiom,1,1,Undesirable,5,0,1
laughing dumbly,idiom,1,1,Desirable,3,0,1
auspicious day,idiom,1,1,Desirable,3,1,2
sidetrack,idiom,1,1,Blameworthy,7,2,2
skinny,idiom,1,1,Blameworthy,5,2,2
incurable disease,idiom,1,1,Blameworthy,5,2,2
casual talk,idiom,1,1,Blameworthy,3,2,2
lumped together,idiom,1,1,Blameworthy,3,2,2
sweet talk,idiom,1,1,Blameworthy,5,2,2
mantra,idiom,1,1,Blameworthy,3,2,2
talkative,idiom,1,1,Blameworthy,5,2,2
nagging,idiom,1,1,Blameworthy,3,2,2
ramble,idiom,1,1,Blameworthy,3,2,2
suddenly enlightened,idiom,1,1,Desirable,3,1,2
know everything,idiom,1,1,Confirmed,5,1,2
foresight,idiom,1,1,Praiseworthy,3,1,2
blame oneself,idiom,1,1,Praiseworthy,5,1,2
deceive,idiom,1,1,Blameworthy,7,2,2
sweet tongue,idiom,1,1,Blameworthy,5,2,2
hongfei mingming,idiom,1,1,Desirable,5,1,2
doomed,idiom,1,1,Undesirable,5,2,2
coix pearl,idiom,1,1,Undesirable,5,2,2
guamanchao,idiom,1,1,Blameworthy,7,2,2
high debt,idiom,1,1,Undesirable,7,2,2
resolute,idiom,1,1,Praiseworthy,7,1,2
stay prepared,idiom,1,1,Praiseworthy,5,1,2
respond hastily,idiom,1,1,Undesirable,9,2,2
revenge,idiom,1,1,Blameworthy,7,2,2
overshadowing,idiom,1,1,Blameworthy,5,2,2
publicity,idiom,1,1,Blameworthy,5,2,2
people's city,idiom,1,1,Undesirable,5,2,2
coming together,idiom,1,1,Desirable,5,0,1
cannibalism,idiom,1,1,Blameworthy,7,2,2
run rampant,idiom,1,1,Blameworthy,7,2,2
bring disaster,idiom,1,1,Blameworthy,5,2,2
provocative,idiom,1,1,Blameworthy,5,2,2
act ugly,idiom,1,1,Blameworthy,5,2,2
evil intentions,idiom,1,1,Blameworthy,5,2,2
clear weather,idiom,1,1,Desirable,7,1,2
glorious sun,idiom,1,1,Praiseworthy,5,1,2
commentary,idiom,1,1,Blameworthy,5,2,2
export success,idiom,1,1,Praiseworthy,7,1,2
magical plan,idiom,1,1,Praiseworthy,9,1,2
chest armor,idiom,1,1,Praiseworthy,7,1,2
zhuo naochorun,idiom,1,1,Praiseworthy,9,1,2
insights,idiom,1,1,Praiseworthy,5,1,2
shitongyuntai,idiom,1,1,Desirable,5,1,2
fengguanxiapei,idiom,1,1,Desirable,1,1,2
